日期,班组,物资编码,物资名称,规格型号/图号/材质,计量单位,单价（元）,数量,金额,科目编号,科目名称
2022.8.1,检修组,2.55E+11,弹簧垫圈（4mm）,4mm 不锈钢,百个,4.0,1,4.0,6401-1-3421-2-1-1,D1修
2022.8.2,综合组,2.50E+11,六角头螺栓-C级,M10×30mm 4.8 钢,百个,27.35,2,54.7,6401-1-3421-2-1-1,D1修
2022.8.3,检修组,14090000389,螺栓松动剂,250ml,瓶,11.5,2,23.0,6401-1-3421-2-1-1,D1修
2022.8.4,乘务队,9.55E+11,电茶炉胶垫,190×170 10孔,个,48.39,2,96.78,6401-1-3421-2-1-1,D1修
2022.8.5,检修组,5.21E+11,硒鼓（88A）,HP 88A,个,110.73,2,221.46,6401-1-3615-1-1-1,微机耗材
2022.8.6,综合组,5.21E+11,硒鼓（230A）,HP CF230A,支,59.86,2,119.72,6401-1-3615-1-1-1,微机耗材
2022.8.7,乘务队,17400072020,复印纸(A3),A3 定量70g/O 宽297×长420mm 2000张/箱,箱,194.25,2,388.5,6401-1-3615-1-1-1,微机耗材
2022.8.8,综合组,E21004002674,地板刷,规格型号:2寸+3.5寸+4寸+5寸实心+5寸空心;,个,50.27,2,100.54,6401-1-3421-2-1-1,D1修
2022.8.9,综合组,J03003000515,百洁布,规格型号:普通款;,个,2.48,2,4.96,6401-1-3421-2-1-1,D1修
2022.8.10,综合组,18840005400,中性笔,晨光GP1008 0.5mm 黑色 12支/盒,盒,16.19,2,32.38,6401-1-3610-1-2,纸张表格、文具等办公用品
2022.8.11,检修组,2.55E+11,弹簧垫圈（4mm）,4mm 不锈钢,百个,4.0,15,60.0,6401-1-3421-2-1-1,D1修
2022.9.1,乘务队,2.13E+11,电动三轮车,1.2m×0.9m 电机48V,辆,4417.7,1,4417.7,6401-1-3421-2-1-1,D1修
2022.9.2,检修组,9.551E+11,电茶炉胶垫,190×170 10孔,个,48.39,1,48.39,6401-1-3421-2-1-1,D1修
